LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID109249,109249,0,8.90725326538086,13.443161453014323,0.8603623329929166,0.0,0.0,0,0.65,1,,224.68217054263565,186.0,141.0,584.0,28984.0,96.99452179248031,0.13641084784893154,0.5561154204300816
ID109507,109507,0,8.553266525268555,13.228070869766093,0.752817041368802,0.0,139.9704532623291,28,0.65,1,,214.12403100775194,176.0,138.0,566.0,27622.0,91.88069776141249,0.15688969946673925,0.6320822553844044
ID109314,109314,0,8.493310928344727,13.443161453014323,0.6452717497446875,0.0,24.994723796844482,5,0.65,1,,221.68992248062017,184.0,148.0,580.0,28598.0,94.32331353263197,0.16898655380110278,0.6795157570200836
ID109381,109381,0,7.938873291015625,13.443161453014323,0.6452717497446875,0.0,69.98522663116455,14,0.65,1,,216.27131782945736,177.0,145.0,605.0,27899.0,96.67946006795346,0.15271929871311657,0.5927411288526401
ID109445,109445,0,7.798946380615234,13.550706744638438,0.6452717497446875,0.0,94.97995042800903,19,0.65,1,,212.11627906976744,174.0,138.0,527.0,27363.0,88.66163099699054,0.15656120347255414,0.6477147852658233
ID109323,109323,0,8.619356155395508,13.443161453014323,0.6452717497446875,0.0,39.99155807495117,8,0.65,1,,224.30232558139534,183.0,146.0,624.0,28935.0,99.73587029085583,0.16518535951786362,0.6376596320048721
ID109515,109515,0,8.390778541564941,13.228070869766093,0.752817041368802,0.0,144.969398021698,29,0.65,1,,212.64341085271317,180.0,135.0,587.0,27431.0,94.85151211644015,0.14802163798668777,0.5781130842394978
ID109258,109258,0,9.75750732421875,13.443161453014323,0.752817041368802,0.0,9.997889518737793,2,0.65,1,,231.05426356589146,190.0,141.0,624.0,29806.0,107.51920686538399,0.16875078247875394,0.620557188827832
ID109390,109390,0,7.917443752288818,13.443161453014323,0.6452717497446875,0.0,74.98417139053345,15,0.65,1,,214.8294573643411,179.0,136.0,528.0,27713.0,90.59397089754094,0.15402453798707702,0.6329937218008198
ID109454,109454,0,8.133736610412598,13.335616161390208,0.6452717497446875,0.0,109.97678470611572,22,0.65,1,,213.6201550387597,177.0,136.0,568.0,27557.0,92.07115062874351,0.16161563560714143,0.6456090006856168
ID109266,109266,0,9.742304801940918,13.443161453014323,0.6452717497446875,0.0,34.992613315582275,7,0.65,1,,227.71317829457365,186.0,141.0,657.0,29375.0,110.0818724999751,0.18169986107403632,0.6361356914765739
ID109522,109522,0,8.821676254272461,13.228070869766093,0.752817041368802,0.0,149.9683427810669,30,0.65,1,,215.2248062015504,177.0,140.0,592.0,27764.0,95.60500120205512,0.15989624863217872,0.6206701235039837
ID109399,109399,0,8.233678817749023,13.443161453014323,0.537726458120573,0.0,84.98206090927124,17,0.65,1,,222.34108527131784,188.0,139.0,595.0,28682.0,93.1121212675234,0.19141074106999728,0.7672701269026225
ID109334,109334,0,8.682130813598633,13.443161453014323,0.6452717497446875,0.0,44.99050283432007,9,0.65,1,,224.03875968992247,187.0,146.0,588.0,28901.0,96.39837614529414,0.16704981135062294,0.6653344849769296
ID109529,109529,0,8.297450065612793,13.228070869766093,0.752817041368802,0.0,154.9672875404358,31,0.65,1,,213.13178294573643,178.0,139.0,593.0,27494.0,94.32534950943737,0.15332752378643524,0.6007824755806478
ID109464,109464,0,7.366300106048584,13.335616161390208,0.752817041368802,0.0,114.97572946548462,23,0.65,1,,207.28682170542635,171.0,139.0,540.0,26740.0,86.78324235185485,0.12416336161321974,0.5276304507527513
ID109277,109277,0,8.676568031311035,13.443161453014323,0.6452717497446875,0.0,29.99366855621338,6,0.65,1,,221.4108527131783,182.0,138.0,618.0,28562.0,102.95961074032112,0.16747349616464738,0.6169657634103809
ID109343,109343,0,9.056805610656738,13.550706744638438,0.6452717497446875,0.0,49.989447593688965,10,0.65,1,,224.74418604651163,183.0,141.0,599.0,28992.0,100.62370178275651,0.17702502899510056,0.6718419954938294
ID109409,109409,0,7.735040187835693,13.443161453014323,0.6452717497446875,0.0,79.98311614990234,16,0.65,1,,214.58139534883722,176.0,143.0,575.0,27681.0,93.32727174391627,0.15017187838257623,0.6003981683099436
ID109472,109472,0,6.903043270111084,13.335616161390208,0.752817041368802,0.0,124.97361898422241,25,0.65,1,,202.53488372093022,173.0,139.0,483.0,26127.0,74.28724302828977,0.12716637058296876,0.6151766504586568
ID109536,109536,0,8.611438751220703,13.228070869766093,0.752817041368802,0.0,159.9662322998047,32,0.65,1,,211.46511627906978,174.0,137.0,597.0,27279.0,96.84233695416579,0.1571709393378172,0.5931686645533193
ID109287,109287,0,8.550294876098633,13.443161453014323,0.752817041368802,0.0,4.9989447593688965,1,0.65,1,,225.12403100775194,188.0,143.0,579.0,29041.0,94.25779209765116,0.1484545807409117,0.6174678758338616
ID109352,109352,0,8.385311126708984,13.443161453014323,0.6452717497446875,0.0,59.98733711242676,12,0.65,1,,221.36434108527132,190.0,145.0,597.0,28556.0,94.39345332705946,0.16714222092407574,0.671673435954794
ID109544,109544,0,8.184358596801758,13.228070869766093,0.8603623329929166,0.0,164.96517705917358,33,0.65,1,,210.72093023255815,176.0,134.0,591.0,27183.0,96.62637262480627,0.1334019530675616,0.5133578712363658
