LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID27520,27520,0,158.46510314941406,36.24276327732662,14.411069077631355,0.0,0.0,0,0.65,1,,1244.3333333333333,669.0,224.0,5592.0,160519.0,1309.0441845420398,0.7515575308370827,0.8157371657255224
ID28034,28034,0,375.78533935546875,36.99558031869542,14.626159660879585,0.0,69.89981746673584,14,0.65,1,,2611.1162790697676,707.0,199.0,17949.0,336834.0,4021.290333625645,0.8643256371245228,0.6020691871534513
ID28354,28354,0,240.23744201660156,37.42576148519188,15.271431410624272,0.0,114.83541440963745,23,0.65,1,,1793.0387596899225,808.0,190.0,9416.0,231302.0,2201.263771972466,0.7733979677044154,0.710467812842297
ID28422,28422,0,220.09400939941406,37.53330677681599,15.271431410624272,0.0,124.82110261917114,25,0.65,1,,1692.860465116279,764.0,216.0,8453.0,218379.0,1954.6764787626387,0.7371306509712767,0.7350015554798021
ID27847,27847,0,244.76568603515625,36.78048973544718,15.271431410624272,0.0,44.93559694290161,9,0.65,1,,1799.0,767.0,224.0,9640.0,232071.0,2223.945041334205,0.796162445498335,0.7171222291424642
ID28487,28487,0,163.02049255371094,37.10312561031953,15.809157868744846,0.0,144.79247903823853,29,0.65,1,,1327.6434108527133,643.0,227.0,5841.0,171266.0,1400.6418327773076,0.6974941538269473,0.7789626445816225
ID27593,27593,0,172.2012939453125,36.35030856895073,15.486521993872502,0.0,9.985688209533691,2,0.65,1,,1338.4108527131782,657.0,181.0,6298.0,172655.0,1463.5204005048233,0.7527146501573779,0.7854884738935888
ID28108,28108,0,242.6834716796875,37.74839736006422,14.948795535751929,0.0,79.88550567626953,16,0.65,1,,1821.6124031007753,845.0,194.0,9026.0,234988.0,2176.6276176909455,0.7827492666641721,0.7349101371184765
ID28556,28556,0,257.97589111328125,37.42576148519188,15.163886119000157,0.0,129.813946723938,26,0.65,1,,1923.0387596899225,813.0,212.0,10438.0,248072.0,2398.427536308623,0.7654326398253039,0.6952600217111354
ID27664,27664,0,236.3228759765625,36.35030856895073,15.378976702248387,0.0,24.96422052383423,5,0.65,1,,1796.046511627907,858.0,223.0,9567.0,231690.0,2158.578028979904,0.731449873601717,0.7029986140500387
ID28624,28624,0,187.94345092773438,37.210670901943644,15.70161257712073,0.0,154.77816724777222,31,0.65,1,,1473.7751937984497,695.0,222.0,7158.0,190117.0,1664.8355551314505,0.7208405966862093,0.7416320505402224
ID27924,27924,0,238.26425170898438,36.78048973544718,15.378976702248387,0.0,49.92844104766846,10,0.65,1,,1758.6899224806202,770.0,224.0,9156.0,226871.0,2121.8303853868183,0.7972021216902894,0.7353263510441284
ID28692,28692,0,237.7292938232422,37.10312561031953,15.70161257712073,0.0,169.75669956207275,34,0.65,1,,1778.4341085271317,742.0,200.0,9783.0,229418.0,2215.3054171665626,0.7673220130713473,0.6971016904095857
ID28182,28182,0,228.80477905273438,37.42576148519188,15.163886119000157,0.0,89.87119388580322,18,0.65,1,,1708.7209302325582,741.0,225.0,8891.0,220425.0,2035.6712766337369,0.7842302427239268,0.7378807421422767
ID27736,27736,0,175.10836791992188,36.56539915219896,15.378976702248387,0.0,19.971376419067383,4,0.65,1,,1402.7751937984497,641.0,202.0,6548.0,180958.0,1561.1966526129388,0.6924755253153481,0.7352626292013765
ID28760,28760,0,266.8553161621094,37.210670901943644,15.594067285496616,0.0,174.7495436668396,35,0.65,1,,1956.6589147286822,753.0,224.0,10875.0,252409.0,2508.2216231579173,0.7850090459083682,0.6861411309200357
ID28251,28251,0,220.3045654296875,37.640852068440104,15.271431410624272,0.0,94.86403799057007,19,0.65,1,,1661.1162790697674,661.0,236.0,8260.0,214284.0,1954.9429484478687,0.7765400696290211,0.7428220812587
ID27806,27806,0,223.2554168701172,36.67294444382307,15.378976702248387,0.0,39.942752838134766,8,0.65,1,,1677.3178294573643,758.0,212.0,8580.0,216374.0,1973.177691664578,0.7820197760929345,0.7460782489766713
ID28318,28318,0,200.83770751953125,37.42576148519188,15.378976702248387,0.0,109.8425703048706,22,0.65,1,,1541.6744186046512,652.0,185.0,7558.0,198876.0,1801.6453728241318,0.7539738736212787,0.7356758983603269
ID27999,27999,0,221.960205078125,36.888035027071304,15.271431410624272,0.0,59.91412925720215,12,0.65,1,,1666.3798449612402,741.0,216.0,8440.0,214963.0,1949.312928611797,0.7835160016027045,0.7510922777068433
ID27556,27556,0,146.97979736328125,36.35030856895073,15.594067285496616,0.0,14.978532314300537,3,0.65,1,,1194.5116279069769,614.0,176.0,5259.0,154092.0,1253.9475549507085,0.7157692278135674,0.7947950493010988
ID28389,28389,0,190.8538818359375,37.53330677681599,15.378976702248387,0.0,119.8282585144043,24,0.65,1,,1487.7751937984497,682.0,214.0,7107.0,191923.0,1643.2284497688827,0.7245327313528078,0.7607744728397717
ID28071,28071,0,318.96051025390625,37.640852068440104,14.841250244127814,0.0,74.89266157150269,15,0.65,1,,2280.937984496124,789.0,199.0,13939.0,294241.0,3104.642737477862,0.831588286992397,0.6671328833070405
ID28456,28456,0,170.8585968017578,37.10312561031953,15.91670316036896,0.0,139.79963493347168,28,0.65,1,,1385.3255813953488,732.0,243.0,6119.0,178707.0,1454.2629692712405,0.6969965593645892,0.7825076220990165
